ingredient_id,ingredient_name,ingredient_name_tr,ef_gco2e_per_g,source,geography,year,synonyms,default_portion_g,category,seasonality_winter_factor,notes
beef,Beef,Sığır Eti,27.0,"Poore & Nemecek (2018)",Global,2018,"dana,kofte,kiyma,beef mince,dana kiyma,biftek,antrikot",220,meat,1.0,"High impact - consider alternatives"
beef_organic,Organic Beef,Organik Sığır Eti,24.0,"Agribalyse 3.1",EU,2023,"organik dana,organic beef",200,meat,1.0,"Slightly lower than conventional"
lamb,Lamb,Kuzu Eti,39.0,"Poore & Nemecek (2018)",Global,2018,"kuzu,lamb meat,kuzu pirzola,kuzu but",200,meat,1.0,"Highest impact meat"
chicken,Chicken,Tavuk,6.9,"Poore & Nemecek (2018)",Global,2018,"tavuk,chicken breast,tavuk gogsu,piliç",180,meat,1.0,"Lower impact poultry"
turkey,Turkey,Hindi,5.5,"Agribalyse 3.1",EU,2023,"hindi,turkey meat",180,meat,1.0,"Similar to chicken"
pork,Pork,Domuz Eti,7.6,"Poore & Nemecek (2018)",Global,2018,"domuz,pork meat",150,meat,1.0,"Medium impact meat"
fish_farmed,Farmed Fish,Çiftlik Balığı,7.9,"Poore & Nemecek (2018)",Global,2018,"somon,alabalik,levrek,çipura,salmon,trout",150,seafood,1.0,"Aquaculture"
fish_wild,Wild Fish,Deniz Balığı,3.5,"Agribalyse 3.1",EU,2023,"hamsi,sardalya,uskumru,palamut,wild fish",150,seafood,1.0,"Wild caught - varies by method"
shrimp,Shrimp,Karides,18.0,"Poore & Nemecek (2018)",Global,2018,"karides,prawn,jumbo shrimp",100,seafood,1.0,"High impact seafood"
mussel,Mussel,Midye,0.6,"Agribalyse 3.1",EU,2023,"midye,deniz taragi",150,seafood,1.0,"Very low impact"
egg,Egg,Yumurta,4.5,"Poore & Nemecek (2018)",Global,2018,"yumurta,eggs",60,dairy,1.0,"Per egg ~270g CO2e"
egg_organic,Organic Egg,Organik Yumurta,3.8,"Agribalyse 3.1",EU,2023,"organik yumurta,free range egg",60,dairy,1.0,"Free range/organic"
milk,Milk,Süt,1.9,"Poore & Nemecek (2018)",Global,2018,"sut,milk,inek sutu",200,dairy,1.0,"Per liter"
milk_oat,Oat Milk,Yulaf Sütü,0.9,"Poore & Nemecek (2018)",Global,2018,"yulaf sutu,oat milk,bitki sutu",200,dairy_alt,1.0,"Plant-based alternative"
milk_almond,Almond Milk,Badem Sütü,0.7,"Agribalyse 3.1",EU,2023,"badem sutu,almond milk",200,dairy_alt,1.0,"Low carbon but water intensive"
milk_soy,Soy Milk,Soya Sütü,0.5,"Agribalyse 3.1",EU,2023,"soya sutu,soy milk",200,dairy_alt,1.0,"Lowest impact milk"
cheese,Cheese,Peynir,13.5,"Poore & Nemecek (2018)",Global,2018,"peynir,cheese,beyaz peynir,kasar",30,dairy,1.0,"High impact dairy"
cheese_cheddar,Cheddar Cheese,Cheddar,14.9,"Agribalyse 3.1",EU,2023,"cheddar,aged cheese",30,dairy,1.0,"Aged cheese higher impact"
cheese_feta,Feta Cheese,Beyaz Peynir,8.5,"Agribalyse 3.1",EU,2023,"feta,beyaz peynir,ezine",40,dairy,1.0,"Lower than hard cheese"
yogurt,Yogurt,Yoğurt,2.0,"Agribalyse 3.1",EU,2023,"yogurt,sade yogurt,greek yogurt",150,dairy,1.0,"Fermented dairy"
butter,Butter,Tereyağı,12.1,"Poore & Nemecek (2018)",Global,2018,"tereyagi,butter,sadeyag",15,dairy,1.0,"High fat content = high emissions"
cream,Cream,Krema,5.2,"Agribalyse 3.1",EU,2023,"krema,sivi krema,cream",50,dairy,1.0,"Heavy cream"
rice,White Rice,Pirinç,4.0,"Poore & Nemecek (2018)",Global,2018,"pirinc,rice,baldo,basmati",60,grain,1.0,"Methane from paddies"
rice_brown,Brown Rice,Esmer Pirinç,3.5,"Agribalyse 3.1",EU,2023,"esmer pirinc,brown rice",60,grain,1.0,"Slightly lower processing"
pasta,Pasta,Makarna,1.6,"Agribalyse 3.1",EU,2023,"makarna,spagetti,penne,fusilli",100,grain,1.0,"Wheat based"
bread,Bread,Ekmek,1.3,"Agribalyse 3.1",EU,2023,"ekmek,bread,francala,somun",50,grain,1.0,"Baked goods"
bread_whole,Whole Wheat Bread,Tam Buğday Ekmeği,1.1,"Agribalyse 3.1",EU,2023,"tam bugday ekmegi,whole wheat",50,grain,1.0,"Less processed"
flour,Wheat Flour,Un,0.8,"Agribalyse 3.1",EU,2023,"un,flour,bugday unu",100,grain,1.0,"Base ingredient"
bulgur,Bulgur,Bulgur,1.2,"Agribalyse 3.1",EU,2023,"bulgur,bulgur wheat",80,grain,1.0,"Traditional Turkish grain"
couscous,Couscous,Kuskus,1.4,"Agribalyse 3.1",EU,2023,"kuskus,couscous",80,grain,1.0,"Semolina based"
lentil,Lentil,Mercimek,0.9,"Poore & Nemecek (2018)",Global,2018,"mercimek,kirmizi mercimek,yesil mercimek,red lentil",80,legume,1.0,"Excellent protein source"
chickpea,Chickpea,Nohut,0.8,"Poore & Nemecek (2018)",Global,2018,"nohut,chickpea,garbanzo",80,legume,1.0,"Versatile legume"
bean_white,White Bean,Kuru Fasulye,0.7,"Agribalyse 3.1",EU,2023,"kuru fasulye,white bean,cannellini",80,legume,1.0,"Protein rich"
bean_kidney,Kidney Bean,Barbunya,0.7,"Agribalyse 3.1",EU,2023,"barbunya,kidney bean,borlotti",80,legume,1.0,"Red beans"
tofu,Tofu,Tofu,2.0,"Poore & Nemecek (2018)",Global,2018,"tofu,soya peyniri,bean curd",150,protein_alt,1.0,"Soy based protein"
tempeh,Tempeh,Tempeh,1.2,"Agribalyse 3.1",EU,2023,"tempeh,fermented soy",100,protein_alt,1.0,"Fermented soy"
potato,Potato,Patates,0.46,"Poore & Nemecek (2018)",Global,2018,"patates,potato,potatoes",150,vegetable,1.0,"Staple vegetable"
onion,Onion,Soğan,0.5,"Poore & Nemecek (2018)",Global,2018,"sogan,onion,kuru sogan",20,vegetable,1.0,"Base aromatic"
garlic,Garlic,Sarımsak,0.9,"Agribalyse 3.1",EU,2023,"sarimsak,garlic",10,vegetable,1.0,"Aromatic"
tomato,Tomato,Domates,0.6,"Poore & Nemecek (2018)",Global,2018,"domates,tomato,cherry domates",50,vegetable,1.5,"Greenhouse grown in winter"
tomato_canned,Canned Tomato,Konserve Domates,1.0,"Agribalyse 3.1",EU,2023,"konserve domates,canned tomato,domates salcasi",100,vegetable,1.0,"Processed"
pepper,Bell Pepper,Biber,0.8,"Agribalyse 3.1",EU,2023,"biber,dolmalik biber,bell pepper,sivri biber",80,vegetable,1.4,"Greenhouse in winter"
pepper_hot,Hot Pepper,Acı Biber,0.7,"Agribalyse 3.1",EU,2023,"aci biber,hot pepper,chili",20,vegetable,1.3,"Spicy variety"
eggplant,Eggplant,Patlıcan,0.7,"Agribalyse 3.1",EU,2023,"patlican,eggplant,aubergine",150,vegetable,1.3,"Summer vegetable"
zucchini,Zucchini,Kabak,0.5,"Agribalyse 3.1",EU,2023,"kabak,zucchini,courgette",120,vegetable,1.3,"Summer squash"
cucumber,Cucumber,Salatalık,0.4,"Agribalyse 3.1",EU,2023,"salatalik,cucumber,hiyar",100,vegetable,1.6,"Very high winter factor"
carrot,Carrot,Havuç,0.4,"Poore & Nemecek (2018)",Global,2018,"havuc,carrot",80,vegetable,1.0,"Root vegetable"
spinach,Spinach,Ispanak,0.5,"Agribalyse 3.1",EU,2023,"ispanak,spinach",100,vegetable,1.2,"Leafy green"
lettuce,Lettuce,Marul,0.4,"Agribalyse 3.1",EU,2023,"marul,lettuce,salata",60,vegetable,1.5,"Greenhouse in winter"
cabbage,Cabbage,Lahana,0.3,"Agribalyse 3.1",EU,2023,"lahana,cabbage,beyaz lahana",150,vegetable,1.0,"Hardy vegetable"
broccoli,Broccoli,Brokoli,0.8,"Agribalyse 3.1",EU,2023,"brokoli,broccoli",120,vegetable,1.2,"Cruciferous"
cauliflower,Cauliflower,Karnabahar,0.6,"Agribalyse 3.1",EU,2023,"karnabahar,cauliflower",150,vegetable,1.1,"Cruciferous"
mushroom,Mushroom,Mantar,1.0,"Agribalyse 3.1",EU,2023,"mantar,mushroom,sote mantar",80,vegetable,1.0,"Fungi - indoor grown"
apple,Apple,Elma,0.4,"Poore & Nemecek (2018)",Global,2018,"elma,apple",150,fruit,1.0,"Common fruit"
banana,Banana,Muz,0.8,"Poore & Nemecek (2018)",Global,2018,"muz,banana",120,fruit,1.0,"Imported tropical"
orange,Orange,Portakal,0.5,"Agribalyse 3.1",EU,2023,"portakal,orange",180,fruit,1.0,"Citrus"
lemon,Lemon,Limon,0.4,"Agribalyse 3.1",EU,2023,"limon,lemon",30,fruit,1.0,"Citrus"
strawberry,Strawberry,Çilek,0.8,"Agribalyse 3.1",EU,2023,"cilek,strawberry",100,fruit,1.8,"High winter factor"
grape,Grape,Üzüm,0.7,"Agribalyse 3.1",EU,2023,"uzum,grape",120,fruit,1.0,"Wine grape similar"
olive,Olive,Zeytin,1.5,"Agribalyse 3.1",EU,2023,"zeytin,olive,siyah zeytin,yesil zeytin",30,fruit,1.0,"Mediterranean"
oil_olive,Olive Oil,Zeytinyağı,5.1,"Poore & Nemecek (2018)",Global,2018,"zeytinyagi,olive oil,sizma zeytinyagi",15,oil,1.0,"Premium oil"
oil_sunflower,Sunflower Oil,Ayçiçek Yağı,3.0,"Agribalyse 3.1",EU,2023,"aycicek yagi,sunflower oil",10,oil,1.0,"Common cooking oil"
oil_canola,Canola Oil,Kanola Yağı,2.8,"Agribalyse 3.1",EU,2023,"kanola yagi,canola oil,rapeseed",10,oil,1.0,"Neutral flavor"
oil_coconut,Coconut Oil,Hindistan Cevizi Yağı,4.5,"Agribalyse 3.1",EU,2023,"hindistan cevizi yagi,coconut oil",10,oil,1.0,"Tropical oil"
